container,index,name,offset,size_bytes,range_valid,classification
main.13.com.ea.gp.fifaworld.obb,167,data\ant\pc\Niscbac\54a4a415-9f7d-4946-913b-5e14b45e5107.cbac,23105152,6565,True,
main.13.com.ea.gp.fifaworld.obb,168,data\ant\pc\Niscbac\54ad4465-24dd-4625-bbda-307dcbdc5d27.cbac,23111744,30138,True,
main.13.com.ea.gp.fifaworld.obb,169,data\ant\pc\Niscbac\55111964-e2ad-4648-a507-49ed794d892c.cbac,23141888,113864,True,
main.13.com.ea.gp.fifaworld.obb,170,data\ant\pc\Niscbac\573955b0-f23c-4baf-9746-32a105460d83.cbac,23255808,6316,True,
main.13.com.ea.gp.fifaworld.obb,171,data\ant\pc\Niscbac\5749067a-0231-412a-9bf0-93c8b315ea71.cbac,23262144,504075,True,
main.13.com.ea.gp.fifaworld.obb,172,data\ant\pc\Niscbac\57564e88-8a02-4931-afaf-574aa000b07f.cbac,23766272,271520,True,
main.13.com.ea.gp.fifaworld.obb,173,data\ant\pc\Niscbac\59bffc93-ddf3-4f9e-ba0f-e249aad8ff67.cbac,24037824,177917,True,
main.13.com.ea.gp.fifaworld.obb,174,data\ant\pc\Niscbac\5a28212b-184c-46d1-b376-f871dfd61a17.cbac,24215744,72165,True,
main.13.com.ea.gp.fifaworld.obb,175,data\ant\pc\Niscbac\5a299baf-2ede-4ab7-b351-e83fa7282c33.cbac,24287936,6547,True,
main.13.com.ea.gp.fifaworld.obb,176,data\ant\pc\Niscbac\5a53ce75-d036-4d0c-9eee-8ce3b8d938e7.cbac,24294528,369395,True,
main.13.com.ea.gp.fifaworld.obb,177,data\ant\pc\Niscbac\5abc0667-7d8f-4827-9cae-a18687756581.cbac,24663936,196267,True,
main.13.com.ea.gp.fifaworld.obb,178,data\ant\pc\Niscbac\5bd0896e-8a6e-41a0-9ce9-fae314f3a36a.cbac,24860224,338204,True,
main.13.com.ea.gp.fifaworld.obb,179,data\ant\pc\Niscbac\5bf6ac2d-0086-4314-94f9-6fe1cab43c45.cbac,25198464,451935,True,
main.13.com.ea.gp.fifaworld.obb,180,data\ant\pc\Niscbac\5c0db44b-32cb-447e-8319-1f1069ced5dd.cbac,25650432,421106,True,
main.13.com.ea.gp.fifaworld.obb,181,data\ant\pc\Niscbac\5ce752cb-9e50-4b0f-b1dc-18a4bd54651f.cbac,26071552,115024,True,
main.13.com.ea.gp.fifaworld.obb,182,data\ant\pc\Niscbac\5d3e0f06-1f82-4ca3-9307-46d57e92cf6c.cbac,26186624,64663,True,
main.13.com.ea.gp.fifaworld.obb,183,data\ant\pc\Niscbac\5d818146-655a-4a4f-93d6-2eb9e45d28a5.cbac,26251328,361596,True,
main.13.com.ea.gp.fifaworld.obb,184,data\ant\pc\Niscbac\5de827c5-362a-44ad-b32f-fac06b36ae43.cbac,26612928,49705,True,
main.13.com.ea.gp.fifaworld.obb,185,data\ant\pc\Niscbac\5e569cb4-86bc-447f-ae2d-2f0388f29798.cbac,26662656,366457,True,
main.13.com.ea.gp.fifaworld.obb,186,data\ant\pc\Niscbac\5e6b57ef-281a-4b0f-a863-e6bcd0fee1ee.cbac,27029120,13401,True,
main.13.com.ea.gp.fifaworld.obb,187,data\ant\pc\Niscbac\5ec17174-b829-4169-9e79-28fcbc86b9a9.cbac,27042560,5157,True,
main.13.com.ea.gp.fifaworld.obb,188,data\ant\pc\Niscbac\5ff49198-c2f0-4f4f-83c9-87be9e77919e.cbac,27047744,221129,True,
